,Id,Nome,EsportePai
370,370,Judo Women's Half-Middleweight,Judo
371,371,Judo Women's Heavyweight,Judo
372,372,Judo Women's Lightweight,Judo
373,373,Judo Women's Middleweight,Judo
374,374,Lacrosse,-
375,375,Lacrosse Men's Lacrosse,Lacrosse
376,376,Modern Pentathlon,-
377,377,Modern Pentathlon Men's Individual,Modern Pentathlon
378,378,Modern Pentathlon Men's Team,Modern Pentathlon
379,379,Modern Pentathlon Women's Individual,Modern Pentathlon
380,380,Motorboating,-
381,381,Motorboating Mixed A-Class (Open),Motorboating
382,382,Motorboating Mixed B-Class (Under 60 Feet),Motorboating
383,383,Motorboating Mixed C-Class,Motorboating
384,384,Polo,-
385,385,Polo Men's Polo,Polo
386,386,Racquets,-
387,387,Racquets Men's Doubles,Racquets
388,388,Racquets Men's Singles,Racquets
389,389,Rhythmic Gymnastics,-
390,390,Rhythmic Gymnastics Women's Group,Rhythmic Gymnastics
391,391,Rhythmic Gymnastics Women's Individual,Rhythmic Gymnastics
392,392,Roque,-
393,393,Roque Men's Singles,Roque
394,394,Rowing,-
395,395,Rowing Men's 17-Man Naval Rowing Boats,Rowing
396,396,Rowing Men's 6-Man Naval Rowing Boats,Rowing
397,397,Rowing Men's Coxed Eights,Rowing
398,398,Rowing Men's Coxed Fours,Rowing
399,399,"Rowing Men's Coxed Fours, Inriggers",Rowing
400,400,"Rowing Men's Coxed Fours, Outriggers",Rowing
401,401,Rowing Men's Coxed Pairs,Rowing
402,402,Rowing Men's Coxed Pairs (1 kilometres),Rowing
403,403,Rowing Men's Coxed Pairs (1 mile),Rowing
404,404,Rowing Men's Coxless Fours,Rowing
405,405,Rowing Men's Coxless Pairs,Rowing
406,406,Rowing Men's Double Sculls,Rowing
407,407,Rowing Men's Lightweight Coxless Fours,Rowing
408,408,Rowing Men's Lightweight Double Sculls,Rowing
409,409,Rowing Men's Quadruple Sculls,Rowing
410,410,Rowing Men's Single Sculls,Rowing
411,411,Rowing Women's Coxed Eights,Rowing
412,412,Rowing Women's Coxed Fours,Rowing
413,413,Rowing Women's Coxed Quadruple Sculls,Rowing
414,414,Rowing Women's Coxless Fours,Rowing
415,415,Rowing Women's Coxless Pairs,Rowing
416,416,Rowing Women's Double Sculls,Rowing
417,417,Rowing Women's Lightweight Double Sculls,Rowing
418,418,Rowing Women's Quadruple Sculls,Rowing
419,419,Rowing Women's Single Sculls,Rowing
420,420,Rugby,-
421,421,Rugby Men's Rugby,Rugby
422,422,Rugby Sevens,-
423,423,Rugby Sevens Men's Rugby Sevens,Rugby Sevens
424,424,Rugby Sevens Women's Rugby Sevens,Rugby Sevens
425,425,Sailing,-
426,426,Sailing Men's One Person Dinghy,Sailing
427,427,Sailing Men's One Person Heavyweight Dinghy,Sailing
428,428,Sailing Men's Skiff,Sailing
429,429,Sailing Men's Two Person Dinghy,Sailing
430,430,Sailing Men's Two Person Keelboat,Sailing
431,431,Sailing Men's Windsurfer,Sailing
432,432,Sailing Mixed 0-0.5 Ton,Sailing
433,433,Sailing Mixed 0.5-1 Ton,Sailing
434,434,Sailing Mixed 1-2 Ton,Sailing
435,435,Sailing Mixed 10 metres,Sailing
436,436,Sailing Mixed 10-20 Ton,Sailing
437,437,Sailing Mixed 12 foot,Sailing
438,438,Sailing Mixed 12 metres,Sailing
439,439,Sailing Mixed 18 foot,Sailing
440,440,Sailing Mixed 2-3 Ton,Sailing
441,441,Sailing Mixed 20+ Ton,Sailing
442,442,Sailing Mixed 3-10 Ton,Sailing
443,443,Sailing Mixed 30 metres,Sailing
444,444,Sailing Mixed 40 metres,Sailing
445,445,Sailing Mixed 5.5 metres,Sailing
446,446,Sailing Mixed 6 metres,Sailing
447,447,Sailing Mixed 6.5 metres,Sailing
448,448,Sailing Mixed 7 metres,Sailing
449,449,Sailing Mixed 8 metres,Sailing
450,450,Sailing Mixed Multihull,Sailing
451,451,Sailing Mixed One Person Dinghy,Sailing
452,452,Sailing Mixed Open,Sailing
453,453,Sailing Mixed Skiff,Sailing
454,454,Sailing Mixed Three Person Keelboat,Sailing
455,455,Sailing Mixed Two Person Dinghy,Sailing
456,456,Sailing Mixed Two Person Heavyweight Dinghy,Sailing
